"","x1","y1","x2","y2","SDI1","SDI2","SDI3","SDI4","SDI5","SDI6","SDI7","SDI8","ID"
"1",0,0,20,20,313.365282679145,370.459820283281,400.001473524007,376.655170172191,362.085962430915,385.630329590102,382.67607114268,316.448560881611,1
"2",20,0,40,20,790.979371317827,854.411026935267,797.414492312837,773.507417797762,803.181366220234,850.899186710079,858.774259601721,874.447301679,2
"3",40,0,60,20,743.212256400942,610.799253471666,606.41207643119,570.618816140839,414.5730505232,573.894063272152,670.661921441545,575.984858211137,3
"4",60,0,80,20,573.690792173392,508.323846506114,368.185490378332,385.839139659334,419.201189592408,413.689188495536,404.829764167124,300.443036367556,4
"5",80,0,100,20,584.082784894581,611.431490073079,649.97042924543,661.582598987697,671.598806979854,593.612281551884,607.589484663029,520.673631179271,5
"6",100,0,120,20,633.38445986523,584.48836405879,573.062621697959,554.405050313047,566.870602226,472.815079154407,512.208403613879,511.758497595923,6
"7",120,0,140,20,458.154937986135,493.82574971385,500.777717447934,443.182805529288,435.302174147141,432.1914811483,432.412330888127,424.810982432954,7
"8",140,0,160,20,545.626538298068,563.63320444856,586.391245987096,580.063735494188,604.27929151765,525.827338863909,398.224520891847,477.429182835511,8
"9",160,0,180,20,683.13899720324,697.56314141394,656.296548124612,576.359513707959,564.832528335337,601.705774930019,646.97423439768,695.184557949502,9
"10",180,0,200,20,372.938067827438,328.459075836766,421.840377670831,427.103520625996,421.553211352774,446.058206981768,504.362680485099,527.663920765767,10
"11",200,0,220,20,893.846999281634,910.836397861375,717.890495055144,724.776514568577,766.142515422636,811.189139756743,729.915775151716,568.749110822211,11
"12",220,0,240,20,529.558975928065,504.80032758579,477.1207553703,468.751339247743,439.401947363055,468.486297327791,432.401787675909,492.000255922416,12
"13",240,0,260,20,726.642827195414,759.36844390694,654.114205235728,615.477141744156,627.380331630542,594.772915806284,613.98669384298,604.919716696685,13
"14",260,0,280,20,1126.0390888836,1121.96118924792,1093.54303656894,1086.85130937032,1083.89800602233,1101.31274069591,1029.1612547151,1036.22121292353,14
"15",280,0,300,20,922.570519072869,585.540049476762,348.924294192033,371.612385664718,400.571651109826,392.888471847644,389.697351601945,336.026014664613,15
"16",300,0,320,20,547.921760382934,607.521202402127,572.925337457567,544.742281998278,484.663253910846,457.64561123844,375.111673439987,356.761096627359,16
"17",320,0,340,20,503.150178103033,518.254636542471,553.685544437279,535.584241757161,447.470683445587,456.895338009647,526.922196371126,502.769469028762,17
"18",340,0,360,20,551.404514342155,612.768065279729,626.108221839282,674.291483871506,625.061949871671,651.846670960664,584.649628790569,569.493864747834,18
"19",360,0,380,20,445.307628906241,490.488884941581,530.980624456648,536.032282478292,589.489708506794,620.800598045218,720.375426284376,604.851057157912,19
"20",380,0,400,20,694.998858806546,775.287831627895,857.163286044891,888.596751789048,943.880833242617,972.68396594968,1058.48551391171,1115.06868668436,20
"21",400,0,420,20,774.564341809519,678.296932724392,690.171728926537,708.21038293325,711.231503496418,713.147995324475,670.751382047661,675.771808571694,21
"22",420,0,440,20,909.501675249992,864.844247309998,885.074780138044,865.074260508211,886.273699465564,914.581666324541,935.871020450071,982.83621742838,22
"23",440,0,460,20,954.030761875197,634.096059593819,625.330964101034,690.519586160414,742.4472158095,741.36670637216,778.556517985044,821.124096991982,23
"24",460,0,480,20,797.201228953336,788.5116036235,537.212276517421,586.611329918511,647.841093847224,625.623353253863,646.998247577377,408.137716228981,24
"25",480,0,500,20,1226.79869612322,1014.74157553401,860.253059616747,784.408928221011,799.071540629966,771.583832297943,809.614497548199,601.458092501665,25
"26",500,0,520,20,881.004654300161,681.53271916421,588.983468738115,489.263156616041,468.214538133768,419.347153297432,436.159461750927,367.889715525544,26
"27",520,0,540,20,569.466900426906,519.4937752278,571.363067719006,636.076985916243,638.969959585154,592.160091050995,597.42722575126,596.868751797094,27
"28",540,0,560,20,616.352516210176,600.251595468287,527.376706062281,581.584933094909,568.710407933993,514.654094297778,558.51322734975,528.11782459633,28
"29",560,0,580,20,577.882631806124,569.220626330506,617.377048164002,518.333908377548,534.481920963264,513.642710580138,536.341239325422,549.102305267803,29
"30",580,0,600,20,530.124198387223,353.156623122727,436.068885992809,442.963300144943,456.880201836251,479.714398146058,507.767984878535,565.447459055468,30
"31",600,0,620,20,528.17267918795,492.318553296654,577.992381605056,583.091528876361,583.827802767208,543.51344883655,562.178870519349,425.351865371478,31
"32",620,0,640,20,571.197893641105,588.226963347601,624.273689514394,705.55116438817,697.700108465457,698.229026868358,629.770617821253,689.366816573505,32
"33",640,0,660,20,793.945821324363,666.680024029649,700.719421114671,656.383904624658,671.819570857185,651.812479596621,557.447701307142,556.236882753848,33
"34",660,0,680,20,362.244214994706,404.905207556607,429.285301096559,477.259832164078,473.474807818944,493.715014162846,494.351279385351,545.856961278828,34
"35",680,0,700,20,1172.44916128491,710.36077712082,731.662395639055,731.565395346048,723.871523008896,709.405544325107,584.920892156599,663.201960423328,35
