census,family,SDM_alpha,SR,DC
1,Fabaceae,1.003,38,3.01441871
2,Fabaceae,0.999,38,3.12283909
3,Fabaceae,1.056,38,2.922763136
4,Fabaceae,1.072,38,2.850358896
5,Fabaceae,1.067,38,2.727519943
6,Fabaceae,1.01,37,2.575997296
7,Fabaceae,0.932,36,2.60200656
8,Fabaceae,0.955,36,2.573724077
1,Euphorbiaceae,0.264,9,4.004743227
2,Euphorbiaceae,0.244,9,4.712756106
3,Euphorbiaceae,0.191,9,8.086798049
4,Euphorbiaceae,0.198,9,3.50295271
5,Euphorbiaceae,0.167,9,3.725406041
6,Euphorbiaceae,0.15,9,5.654358886
7,Euphorbiaceae,0.177,9,5.130440783
8,Euphorbiaceae,0.205,8,6.542337308
1,Lamiaceae,0.361,1,1.245137286
2,Lamiaceae,0.346,1,1.281177323
3,Lamiaceae,0.315,1,1.209976677
4,Lamiaceae,0.191,1,1.277084005
5,Lamiaceae,0.16,1,1.306283737
6,Lamiaceae,0.149,1,1.238518087
7,Lamiaceae,0.226,1,1.168935148
8,Lamiaceae,0.129,1,1.210937981
1,Rubiaceae,1.02,32,9.35788511
2,Rubiaceae,0.977,32,9.415579059
3,Rubiaceae,0.958,34,9.169045741
4,Rubiaceae,1.021,33,8.708578543
5,Rubiaceae,1.06,30,7.973919632
6,Rubiaceae,1.156,33,7.026146411
7,Rubiaceae,1.119,31,6.687310818
8,Rubiaceae,1.083,29,6.185528872
1,Sapindaceae,0.527,7,2.761864932
2,Sapindaceae,0.548,7,2.819616926
3,Sapindaceae,0.582,7,2.790296718
4,Sapindaceae,0.545,7,2.867243083
5,Sapindaceae,0.561,7,2.769913258
6,Sapindaceae,0.565,7,2.59365387
7,Sapindaceae,0.604,7,2.491319046
8,Sapindaceae,0.639,7,2.395288399
1,Anacardiaceae,0.219,4,1.517681
2,Anacardiaceae,0.205,4,1.640745414
3,Anacardiaceae,0.179,4,1.956565252
4,Anacardiaceae,0.175,4,2.180029738
5,Anacardiaceae,0.129,4,3.39479476
6,Anacardiaceae,0.128,4,3.126248021
7,Anacardiaceae,0.153,4,2.200028187
8,Anacardiaceae,0.18,4,1.937088188
1,Annonaceae,0.829,9,7.369736501
2,Annonaceae,0.782,9,7.171423478
3,Annonaceae,0.657,9,8.562691949
4,Annonaceae,0.616,9,9.668407795
5,Annonaceae,0.613,8,10.1656611
6,Annonaceae,0.593,8,10.48830711
7,Annonaceae,0.557,8,10.58801372
8,Annonaceae,0.554,8,9.788970735
1,Malvaceae,1.332,18,1.760346243
2,Malvaceae,1.384,18,1.785190999
3,Malvaceae,1.341,16,1.811731242
4,Malvaceae,1.391,16,1.841146499
5,Malvaceae,1.186,16,1.939103903
6,Malvaceae,1.012,16,2.127320068
7,Malvaceae,0.902,16,2.20578913
8,Malvaceae,0.946,16,2.443321648
1,Acanthaceae,0.008,2,2.021617294
2,Acanthaceae,0.008,2,1.617673086
3,Acanthaceae,0.01,2,1.522551374
4,Acanthaceae,0.008,2,2.654390179
5,Acanthaceae,0.003,2,2.684054936
6,Acanthaceae,0.012,2,1.452300302
7,Acanthaceae,0.01,2,1.324793168
8,Acanthaceae,3715.125,2,0.991192954
1,Primulaceae,2.231,4,1.272237398
2,Primulaceae,2.18,4,1.288719598
3,Primulaceae,1.811,4,1.35366611
4,Primulaceae,1.578,4,1.378678701
5,Primulaceae,1.279,4,1.444683518
6,Primulaceae,1.244,4,1.476099852
7,Primulaceae,1.148,4,1.508301303
8,Primulaceae,1.252,4,1.431966063
1,Apocynaceae,1.002,5,1.581155572
2,Apocynaceae,1.021,5,1.632134937
3,Apocynaceae,1.109,4,1.752264371
4,Apocynaceae,1.185,5,1.669746658
5,Apocynaceae,1.194,5,1.720268636
6,Apocynaceae,1.075,6,2.138291067
7,Apocynaceae,1.161,5,2.025311219
8,Apocynaceae,1.272,6,1.960491483
1,Arecaceae,0.289,11,4.988950531
2,Arecaceae,0.356,11,3.915252067
3,Arecaceae,0.489,11,2.965805923
4,Arecaceae,0.516,10,3.01012518
5,Arecaceae,0.622,9,2.614471527
6,Arecaceae,0.676,9,2.508290313
7,Arecaceae,0.669,9,2.590614319
8,Arecaceae,0.7,9,2.462016034
1,Salicaceae,0.8,12,1.652774679
2,Salicaceae,0.83,12,1.597983016
3,Salicaceae,0.844,12,1.5331618
4,Salicaceae,0.746,12,1.607242459
5,Salicaceae,0.735,12,1.508118293
6,Salicaceae,0.691,11,1.544443765
7,Salicaceae,0.597,11,1.582145337
8,Salicaceae,0.562,11,1.563143865
1,Lauraceae,0.352,11,7.034479611
2,Lauraceae,0.356,11,7.813533757
3,Lauraceae,0.39,10,6.930253451
4,Lauraceae,0.441,10,5.477792639
5,Lauraceae,0.461,10,4.578231599
6,Lauraceae,0.474,10,4.051500585
7,Lauraceae,0.407,10,4.235250269
8,Lauraceae,0.47,10,3.772929872
1,Moraceae,1.205,19,3.93267218
2,Moraceae,1.161,19,3.78695157
3,Moraceae,1.183,21,3.483183147
4,Moraceae,1.196,21,3.279770061
5,Moraceae,1.225,21,3.058766298
6,Moraceae,1.249,19,2.8572694
7,Moraceae,1.275,19,2.727568652
8,Moraceae,1.386,19,2.494139362
1,Calophyllaceae,0.54,2,2.364398982
2,Calophyllaceae,0.458,2,3.607427843
3,Calophyllaceae,0.344,2,5.678304747
4,Calophyllaceae,0.323,2,6.516380227
5,Calophyllaceae,0.322,2,6.405360889
6,Calophyllaceae,0.316,2,6.497481767
7,Calophyllaceae,0.316,2,7.826906911
8,Calophyllaceae,0.327,2,8.0462881
1,Capparaceae,1.565,1,2.796174496
2,Capparaceae,1.665,1,2.75380326
3,Capparaceae,1.694,1,2.660534293
4,Capparaceae,1.762,1,2.514498482
5,Capparaceae,1.812,1,2.373056988
6,Capparaceae,1.789,1,2.268844956
7,Capparaceae,1.837,1,2.135895561
8,Capparaceae,1.696,1,2.146709627
1,Rhizophoraceae,1.615,1,1.4693154
2,Rhizophoraceae,1.671,1,1.495313898
3,Rhizophoraceae,1.273,1,1.96408979
4,Rhizophoraceae,1.243,1,2.21220202
5,Rhizophoraceae,1.207,1,2.305804287
6,Rhizophoraceae,1.185,1,2.589151284
7,Rhizophoraceae,1.124,1,3.276871317
8,Rhizophoraceae,1.123,1,3.051003063
1,Urticaceae,0.216,4,2.710667235
2,Urticaceae,0.208,4,3.545183015
3,Urticaceae,0.192,4,2.60518929
4,Urticaceae,0.205,5,2.411096845
5,Urticaceae,0.128,5,10.3102114
6,Urticaceae,0.141,5,10.0623015
7,Urticaceae,0.203,5,5.122510222
8,Urticaceae,0.2,5,9.409241679
1,Meliaceae,1.621,6,8.549673271
2,Meliaceae,1.618,6,8.316006904
3,Meliaceae,1.639,6,8.122952356
4,Meliaceae,1.655,6,7.947321173
